,price,unit_price,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,house_type,area
69,688,单价53936元/平米,虹桥明珠公寓  , 3室2厅 , 127.56平米 , 南 , 简装 , 有电梯,中楼层(共18层)1998年建塔楼  ,  金虹桥
70,530,单价52238元/平米,星河世纪城  , 2室2厅 , 101.46平米 , 南 , 简装 , 有电梯,低楼层(共24层)2005年建板楼  ,  真如
71,689,单价52769元/平米,紫云大厦  , 3室2厅 , 130.57平米 , 暂无数据 , 精装 , 有电梯,高楼层(共29层)板楼  ,  虹桥
72,1350,单价87227元/平米,金桥爱建园  , 4室2厅 , 154.77平米 , 南 , 简装 , 有电梯,中楼层(共11层)2003年建板楼  ,  碧云
73,1280,单价121454元/平米,静安枫景苑  , 2室2厅 , 105.39平米 , 南 , 精装 , 有电梯,高楼层(共37层)2005年建板楼  ,  江宁路
74,1350,单价94248元/平米,士林华苑  , 3室2厅 , 143.24平米 , 南 , 精装 , 有电梯,低楼层(共25层)2007年建板楼  ,  豫园
75,920,单价91744元/平米,保利星苑  , 2室2厅 , 100.28平米 , 南 , 精装 , 有电梯,中楼层(共29层)2004年建板楼  ,  龙华
76,1020,单价69134元/平米,新时代富嘉花园  , 4室2厅 , 147.54平米 , 南 , 精装 , 有电梯,中楼层(共11层)2006年建板楼  ,  古美
77,426,单价43035元/平米,好世皇马苑  , 3室2厅 , 98.99平米 , 南 北 , 精装 , 有电梯,中楼层(共24层)2011年建板楼  ,  嘉定新城
78,570,单价56706元/平米,三花现代城  , 2室2厅 , 100.52平米 , 南 , 精装 , 有电梯,低楼层(共17层)2008年建板楼  ,  高境
79,1088,单价78038元/平米,恒盛苑  , 3室2厅 , 139.42平米 , 南 , 精装 , 有电梯,低楼层(共14层)2004年建板楼  ,  金虹桥
80,1550,单价90364元/平米,古北嘉年华庭  , 3室2厅 , 171.53平米 , 南 , 精装 , 有电梯,低楼层(共25层)2005年建板楼  ,  古北
81,860,单价89949元/平米,裕德大厦  , 2室1厅 , 95.61平米 , 南 , 简装 , 有电梯,高楼层(共24层)1997年建塔楼  ,  徐家汇
82,260,单价33714元/平米,水语人家北苑  , 2室1厅 , 77.12平米 , 南 , 毛坯 , 有电梯,中楼层(共17层)2009年建板楼  ,  浦江
83,305,单价41001元/平米,康桥水都(公寓)  , 2室2厅 , 74.39平米 , 南 , 精装 , 有电梯,中楼层(共11层)2007年建板楼  ,  杨行
84,505,单价36619元/平米,龙湖郦城  , 3室2厅 , 137.91平米 , 南 , 毛坯 , 有电梯,中楼层(共27层)2011年建板楼  ,  嘉定新城
